Sample Name	Protocol REF	Date	Performer	Parameter Value[chromatography instrument]	Parameter Value[chromatography column]	Parameter Value[elution program]	Extract Name	Protocol REF	Date	Performer	MS Assay Name	Parameter Value[randomized run order]	Parameter Value[injection mode]	Parameter Value[instrument]	Parameter Value[scan polarity]	Raw Spectral Data File
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#2_sample#2_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#2_sample#2_blood_extract-30	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-30_blood_LC_neg_run-0	30	LC	Agilent QTOF	positive	acquired-data-30_platform-LC_positive_blood_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#2_sample#3_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#2_sample#3_blood_extract-31	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-31_blood_LC_neg_run-0	31	LC	Agilent QTOF	positive	acquired-data-31_platform-LC_positive_blood_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#3_sample#0_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#3_sample#0_blood_extract-32	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-32_blood_LC_neg_run-0	32	LC	Agilent QTOF	positive	acquired-data-32_platform-LC_positive_blood_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#3_sample#1_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#3_sample#1_blood_extract-33	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-33_blood_LC_neg_run-0	33	LC	Agilent QTOF	positive	acquired-data-33_platform-LC_positive_blood_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#3_sample#2_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#3_sample#2_blood_extract-34	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-34_blood_LC_neg_run-0	34	LC	Agilent QTOF	positive	acquired-data-34_platform-LC_positive_blood_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#3_sample#3_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#3_sample#3_blood_extract-35	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-35_blood_LC_neg_run-0	35	LC	Agilent QTOF	positive	acquired-data-35_platform-LC_positive_blood_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#4_sample#0_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#4_sample#0_blood_extract-36	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-36_blood_LC_neg_run-0	36	LC	Agilent QTOF	positive	acquired-data-36_platform-LC_positive_blood_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#4_sample#1_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#4_sample#1_blood_extract-37	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-37_blood_LC_neg_run-0	37	LC	Agilent QTOF	positive	acquired-data-37_platform-LC_positive_blood_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#4_sample#2_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#4_sample#2_blood_extract-38	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-38_blood_LC_neg_run-0	38	LC	Agilent QTOF	positive	acquired-data-38_platform-LC_positive_blood_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#4_sample#3_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#4_sample#3_blood_extract-39	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-39_blood_LC_neg_run-0	39	LC	Agilent QTOF	positive	acquired-data-39_platform-LC_positive_blood_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#0_sample#0_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#0_sample#0_blood_extract-0	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-0_blood_LC_neg_run-0	0	LC	Agilent QTOF	positive	acquired-data-0_platform-LC_positive_blood_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#0_sample#1_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#0_sample#1_blood_extract-1	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-1_blood_LC_neg_run-0	1	LC	Agilent QTOF	positive	acquired-data-1_platform-LC_positive_blood_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#0_sample#2_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#0_sample#2_blood_extract-2	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-2_blood_LC_neg_run-0	2	LC	Agilent QTOF	positive	acquired-data-2_platform-LC_positive_blood_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#0_sample#3_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#0_sample#3_blood_extract-3	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-3_blood_LC_neg_run-0	3	LC	Agilent QTOF	positive	acquired-data-3_platform-LC_positive_blood_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#1_sample#0_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#1_sample#0_blood_extract-4	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-4_blood_LC_neg_run-0	4	LC	Agilent QTOF	positive	acquired-data-4_platform-LC_positive_blood_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#1_sample#1_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#1_sample#1_blood_extract-5	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-5_blood_LC_neg_run-0	5	LC	Agilent QTOF	positive	acquired-data-5_platform-LC_positive_blood_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#1_sample#2_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#1_sample#2_blood_extract-6	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-6_blood_LC_neg_run-0	6	LC	Agilent QTOF	positive	acquired-data-6_platform-LC_positive_blood_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#1_sample#3_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#1_sample#3_blood_extract-7	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-7_blood_LC_neg_run-0	7	LC	Agilent QTOF	positive	acquired-data-7_platform-LC_positive_blood_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#2_sample#0_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#2_sample#0_blood_extract-8	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-8_blood_LC_neg_run-0	8	LC	Agilent QTOF	positive	acquired-data-8_platform-LC_positive_blood_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#2_sample#1_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#2_sample#1_blood_extract-9	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-9_blood_LC_neg_run-0	9	LC	Agilent QTOF	positive	acquired-data-9_platform-LC_positive_blood_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#2_sample#2_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#2_sample#2_blood_extract-10	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-10_blood_LC_neg_run-0	10	LC	Agilent QTOF	positive	acquired-data-10_platform-LC_positive_blood_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#2_sample#3_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#2_sample#3_blood_extract-11	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-11_blood_LC_neg_run-0	11	LC	Agilent QTOF	positive	acquired-data-11_platform-LC_positive_blood_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#3_sample#0_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#3_sample#0_blood_extract-12	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-12_blood_LC_neg_run-0	12	LC	Agilent QTOF	positive	acquired-data-12_platform-LC_positive_blood_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#3_sample#1_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#3_sample#1_blood_extract-13	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-13_blood_LC_neg_run-0	13	LC	Agilent QTOF	positive	acquired-data-13_platform-LC_positive_blood_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#3_sample#2_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#3_sample#2_blood_extract-14	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-14_blood_LC_neg_run-0	14	LC	Agilent QTOF	positive	acquired-data-14_platform-LC_positive_blood_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#3_sample#3_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#3_sample#3_blood_extract-15	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-15_blood_LC_neg_run-0	15	LC	Agilent QTOF	positive	acquired-data-15_platform-LC_positive_blood_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#4_sample#0_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#4_sample#0_blood_extract-16	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-16_blood_LC_neg_run-0	16	LC	Agilent QTOF	positive	acquired-data-16_platform-LC_positive_blood_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#4_sample#1_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#4_sample#1_blood_extract-17	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-17_blood_LC_neg_run-0	17	LC	Agilent QTOF	positive	acquired-data-17_platform-LC_positive_blood_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#4_sample#2_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#4_sample#2_blood_extract-18	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-18_blood_LC_neg_run-0	18	LC	Agilent QTOF	positive	acquired-data-18_platform-LC_positive_blood_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#4_sample#3_blood	metabolite extraction	29/08/2019	Alice	Agilent Q12324A	AB Hydroxyapatite	"Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min"	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#4_sample#3_blood_extract-19	GC-positive mass spectrometry	29/08/2019	Dan	assay-name-19_blood_LC_neg_run-0	19	LC	Agilent QTOF	positive	acquired-data-19_platform-LC_positive_blood_run-0.mzml.gz
