Sample Name	Protocol REF	Date	Performer	Extract Name	Protocol REF	Date	Performer	MS Assay Name	Parameter Value[randomized run order]	Parameter Value[injection mode]	Parameter Value[instrument]	Parameter Value[scan polarity]	Raw Spectral Data File
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#2_sample#2_tears	metabolite extraction	29/08/2019	Frank	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#2_sample#2_tears_extract-30	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-30_tears_GC_pos_run-0	30	GC	Agilent QTOF	positive	acquired-data-30_platform-GC_positive_tears_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#2_sample#3_tears	metabolite extraction	29/08/2019	Frank	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#2_sample#3_tears_extract-31	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-31_tears_GC_pos_run-0	31	GC	Agilent QTOF	positive	acquired-data-31_platform-GC_positive_tears_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#3_sample#0_tears	metabolite extraction	29/08/2019	Frank	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#3_sample#0_tears_extract-32	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-32_tears_GC_pos_run-0	32	GC	Agilent QTOF	positive	acquired-data-32_platform-GC_positive_tears_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#3_sample#1_tears	metabolite extraction	29/08/2019	Frank	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#3_sample#1_tears_extract-33	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-33_tears_GC_pos_run-0	33	GC	Agilent QTOF	positive	acquired-data-33_platform-GC_positive_tears_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#3_sample#2_tears	metabolite extraction	29/08/2019	Frank	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#3_sample#2_tears_extract-34	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-34_tears_GC_pos_run-0	34	GC	Agilent QTOF	positive	acquired-data-34_platform-GC_positive_tears_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#3_sample#3_tears	metabolite extraction	29/08/2019	Frank	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#3_sample#3_tears_extract-35	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-35_tears_GC_pos_run-0	35	GC	Agilent QTOF	positive	acquired-data-35_platform-GC_positive_tears_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#4_sample#0_tears	metabolite extraction	29/08/2019	Frank	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#4_sample#0_tears_extract-36	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-36_tears_GC_pos_run-0	36	GC	Agilent QTOF	positive	acquired-data-36_platform-GC_positive_tears_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#4_sample#1_tears	metabolite extraction	29/08/2019	Frank	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#4_sample#1_tears_extract-37	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-37_tears_GC_pos_run-0	37	GC	Agilent QTOF	positive	acquired-data-37_platform-GC_positive_tears_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#4_sample#2_tears	metabolite extraction	29/08/2019	Frank	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#4_sample#2_tears_extract-38	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-38_tears_GC_pos_run-0	38	GC	Agilent QTOF	positive	acquired-data-38_platform-GC_positive_tears_run-0.mzml.gz
studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#4_sample#3_tears	metabolite extraction	29/08/2019	Frank	studygroup_42a87323-fb0c-424b-b09f-c6c88b9425cb_subject#4_sample#3_tears_extract-39	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-39_tears_GC_pos_run-0	39	GC	Agilent QTOF	positive	acquired-data-39_platform-GC_positive_tears_run-0.mzml.gz
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#0_sample#0_tears	metabolite extraction	29/08/2019	Frank	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#0_sample#0_tears_extract-0	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-0_tears_GC_pos_run-0	0	GC	Agilent QTOF	positive	acquired-data-0_platform-GC_positive_tears_run-0.mzml.gz
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#0_sample#1_tears	metabolite extraction	29/08/2019	Frank	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#0_sample#1_tears_extract-1	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-1_tears_GC_pos_run-0	1	GC	Agilent QTOF	positive	acquired-data-1_platform-GC_positive_tears_run-0.mzml.gz
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#0_sample#2_tears	metabolite extraction	29/08/2019	Frank	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#0_sample#2_tears_extract-2	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-2_tears_GC_pos_run-0	2	GC	Agilent QTOF	positive	acquired-data-2_platform-GC_positive_tears_run-0.mzml.gz
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#0_sample#3_tears	metabolite extraction	29/08/2019	Frank	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#0_sample#3_tears_extract-3	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-3_tears_GC_pos_run-0	3	GC	Agilent QTOF	positive	acquired-data-3_platform-GC_positive_tears_run-0.mzml.gz
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#1_sample#0_tears	metabolite extraction	29/08/2019	Frank	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#1_sample#0_tears_extract-4	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-4_tears_GC_pos_run-0	4	GC	Agilent QTOF	positive	acquired-data-4_platform-GC_positive_tears_run-0.mzml.gz
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#1_sample#1_tears	metabolite extraction	29/08/2019	Frank	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#1_sample#1_tears_extract-5	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-5_tears_GC_pos_run-0	5	GC	Agilent QTOF	positive	acquired-data-5_platform-GC_positive_tears_run-0.mzml.gz
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#1_sample#2_tears	metabolite extraction	29/08/2019	Frank	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#1_sample#2_tears_extract-6	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-6_tears_GC_pos_run-0	6	GC	Agilent QTOF	positive	acquired-data-6_platform-GC_positive_tears_run-0.mzml.gz
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#1_sample#3_tears	metabolite extraction	29/08/2019	Frank	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#1_sample#3_tears_extract-7	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-7_tears_GC_pos_run-0	7	GC	Agilent QTOF	positive	acquired-data-7_platform-GC_positive_tears_run-0.mzml.gz
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#2_sample#0_tears	metabolite extraction	29/08/2019	Frank	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#2_sample#0_tears_extract-8	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-8_tears_GC_pos_run-0	8	GC	Agilent QTOF	positive	acquired-data-8_platform-GC_positive_tears_run-0.mzml.gz
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#2_sample#1_tears	metabolite extraction	29/08/2019	Frank	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#2_sample#1_tears_extract-9	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-9_tears_GC_pos_run-0	9	GC	Agilent QTOF	positive	acquired-data-9_platform-GC_positive_tears_run-0.mzml.gz
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#2_sample#2_tears	metabolite extraction	29/08/2019	Frank	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#2_sample#2_tears_extract-10	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-10_tears_GC_pos_run-0	10	GC	Agilent QTOF	positive	acquired-data-10_platform-GC_positive_tears_run-0.mzml.gz
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#2_sample#3_tears	metabolite extraction	29/08/2019	Frank	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#2_sample#3_tears_extract-11	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-11_tears_GC_pos_run-0	11	GC	Agilent QTOF	positive	acquired-data-11_platform-GC_positive_tears_run-0.mzml.gz
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#3_sample#0_tears	metabolite extraction	29/08/2019	Frank	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#3_sample#0_tears_extract-12	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-12_tears_GC_pos_run-0	12	GC	Agilent QTOF	positive	acquired-data-12_platform-GC_positive_tears_run-0.mzml.gz
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#3_sample#1_tears	metabolite extraction	29/08/2019	Frank	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#3_sample#1_tears_extract-13	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-13_tears_GC_pos_run-0	13	GC	Agilent QTOF	positive	acquired-data-13_platform-GC_positive_tears_run-0.mzml.gz
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#3_sample#2_tears	metabolite extraction	29/08/2019	Frank	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#3_sample#2_tears_extract-14	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-14_tears_GC_pos_run-0	14	GC	Agilent QTOF	positive	acquired-data-14_platform-GC_positive_tears_run-0.mzml.gz
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#3_sample#3_tears	metabolite extraction	29/08/2019	Frank	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#3_sample#3_tears_extract-15	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-15_tears_GC_pos_run-0	15	GC	Agilent QTOF	positive	acquired-data-15_platform-GC_positive_tears_run-0.mzml.gz
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#4_sample#0_tears	metabolite extraction	29/08/2019	Frank	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#4_sample#0_tears_extract-16	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-16_tears_GC_pos_run-0	16	GC	Agilent QTOF	positive	acquired-data-16_platform-GC_positive_tears_run-0.mzml.gz
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#4_sample#1_tears	metabolite extraction	29/08/2019	Frank	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#4_sample#1_tears_extract-17	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-17_tears_GC_pos_run-0	17	GC	Agilent QTOF	positive	acquired-data-17_platform-GC_positive_tears_run-0.mzml.gz
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#4_sample#2_tears	metabolite extraction	29/08/2019	Frank	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#4_sample#2_tears_extract-18	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-18_tears_GC_pos_run-0	18	GC	Agilent QTOF	positive	acquired-data-18_platform-GC_positive_tears_run-0.mzml.gz
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#4_sample#3_tears	metabolite extraction	29/08/2019	Frank	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#4_sample#3_tears_extract-19	GC-positive mass spectrometry	29/08/2019	Alice	assay-name-19_tears_GC_pos_run-0	19	GC	Agilent QTOF	positive	acquired-data-19_platform-GC_positive_tears_run-0.mzml.gz
