Sample Name	Protocol REF	Date	Performer	Extract Name	Protocol REF	Date	Performer	MS Assay Name	Parameter Value[randomized run order]	Parameter Value[injection mode]	Parameter Value[instrument]	Parameter Value[scan polarity]	Raw Spectral Data File
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#1_sample#3_tears	metabolite extraction	29/08/2019	Dan	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#1_sample#3_tears_extract-7	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-7_tears_FIA_neg_run-0	7	FIA	Agilent QTOF	negative	acquired-data-7_platform-FIA_negative_tears_run-0.mzml.gz
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#2_sample#0_tears	metabolite extraction	29/08/2019	Dan	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#2_sample#0_tears_extract-8	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-8_tears_FIA_neg_run-0	8	FIA	Agilent QTOF	negative	acquired-data-8_platform-FIA_negative_tears_run-0.mzml.gz
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#2_sample#1_tears	metabolite extraction	29/08/2019	Dan	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#2_sample#1_tears_extract-9	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-9_tears_FIA_neg_run-0	9	FIA	Agilent QTOF	negative	acquired-data-9_platform-FIA_negative_tears_run-0.mzml.gz
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#2_sample#2_tears	metabolite extraction	29/08/2019	Dan	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#2_sample#2_tears_extract-10	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-10_tears_FIA_neg_run-0	10	FIA	Agilent QTOF	negative	acquired-data-10_platform-FIA_negative_tears_run-0.mzml.gz
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#2_sample#3_tears	metabolite extraction	29/08/2019	Dan	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#2_sample#3_tears_extract-11	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-11_tears_FIA_neg_run-0	11	FIA	Agilent QTOF	negative	acquired-data-11_platform-FIA_negative_tears_run-0.mzml.gz
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#3_sample#0_tears	metabolite extraction	29/08/2019	Dan	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#3_sample#0_tears_extract-12	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-12_tears_FIA_neg_run-0	12	FIA	Agilent QTOF	negative	acquired-data-12_platform-FIA_negative_tears_run-0.mzml.gz
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#3_sample#1_tears	metabolite extraction	29/08/2019	Dan	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#3_sample#1_tears_extract-13	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-13_tears_FIA_neg_run-0	13	FIA	Agilent QTOF	negative	acquired-data-13_platform-FIA_negative_tears_run-0.mzml.gz
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#3_sample#2_tears	metabolite extraction	29/08/2019	Dan	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#3_sample#2_tears_extract-14	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-14_tears_FIA_neg_run-0	14	FIA	Agilent QTOF	negative	acquired-data-14_platform-FIA_negative_tears_run-0.mzml.gz
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#3_sample#3_tears	metabolite extraction	29/08/2019	Dan	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#3_sample#3_tears_extract-15	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-15_tears_FIA_neg_run-0	15	FIA	Agilent QTOF	negative	acquired-data-15_platform-FIA_negative_tears_run-0.mzml.gz
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#4_sample#0_tears	metabolite extraction	29/08/2019	Dan	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#4_sample#0_tears_extract-16	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-16_tears_FIA_neg_run-0	16	FIA	Agilent QTOF	negative	acquired-data-16_platform-FIA_negative_tears_run-0.mzml.gz
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#4_sample#1_tears	metabolite extraction	29/08/2019	Dan	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#4_sample#1_tears_extract-17	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-17_tears_FIA_neg_run-0	17	FIA	Agilent QTOF	negative	acquired-data-17_platform-FIA_negative_tears_run-0.mzml.gz
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#4_sample#2_tears	metabolite extraction	29/08/2019	Dan	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#4_sample#2_tears_extract-18	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-18_tears_FIA_neg_run-0	18	FIA	Agilent QTOF	negative	acquired-data-18_platform-FIA_negative_tears_run-0.mzml.gz
studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#4_sample#3_tears	metabolite extraction	29/08/2019	Dan	studygroup_7adbfe3e-eec8-4697-8284-74cd57ee7f81_subject#4_sample#3_tears_extract-19	FIA-negative mass spectrometry	29/08/2019	Bob	assay-name-19_tears_FIA_neg_run-0	19	FIA	Agilent QTOF	negative	acquired-data-19_platform-FIA_negative_tears_run-0.mzml.gz
